url,gia_ban,dien_tich_m2,quan_huyen,loai_hinh,nguon_du_lieu
https://nhadat.cafeland.vn/ban-nha-rieng-h2578-nha-nat-tien-xay-moi-5-tang-sat-dh-van-lang-binh-thanh-3161199.html,4300.0,37.0,Quận Bình Thạnh,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-ban-nha-pham-the-hien-gan-cho-nhi-thien-duong-120m2-gan-mat-ti-3160699.html,8000.0,120.0,Quận 8,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-thanh-ly-gap-nha-phu-my-binh-thanhgia4ty05063m2-4tangso-vuo-3160848.html,4050.0,63.0,Quận Bình Thạnh,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-nha-dep-5-tang-thanh-xuan-25-q12-58m2-huong-dong-mat-me-ket-c-3160873.html,5200.0,58.0,Quận 12,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-can-ho-chung-cu-can-ban-can-ho-h3-384-hoang-dieu-q4-2-1-can-3162350.html,1485.0,72.5,Quận 4,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-1ty-590-32m2-full-noi-that-khu-vuc-duong-hoa-phan-xich-long-3162373.html,1590.0,32.0,Quận 1,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-nhabinhthanh-ke-ben-cho-cay-queo-48m2-cn-ngang-33m-no-hau-k-3162383.html,2550.0,48.0,Quận Bình Thạnh,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-can-ho-chung-cu-can-ho-cao-cap-the-tresor-sap-co-so-hong-39-ben-van-3162294.html,2555.0,50.0,Quận 4,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-hem-xe-hoi-nguyen-thai-son-giap-binh-thanh-56m2-4t-chi-7-3162458.html,7900.0,56.0,Quận 1,Nhà riêng,cafeland
https://nhadat.cafeland.vn/nha-gia-mem-linh-xuan-day-du-cong-nang-tret-lung-duc-gan-cho-gan-truong-3162162.html,1700.0,32.0,TP. Thủ Đức,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-hang-re-khong-oi-nguyen-dup7go-vaptphcm-shr-1ty-480-3162264.html,1480.0,15.0,Quận Gò Vấp,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-ban-nha-mt-hem-le-van-sy-q3-35m2-gia1450t-so-san-hem-xe-hoi-an-3162245.html,1450.0,35.0,Quận 3,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-ban-nhanh-gia-tot-le-van-tho-p9-qgv-gia-1ty730tl-4x15m-vao-o-3162256.html,1730.0,60.0,Quận Gò Vấp,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-can-ho-chung-cu-hiem-co-can-goc-view-truc-dien-thu-thiem-song-sai-gon-ta-3158272.html,10000.0,88.0,Quận 1,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-dat-tho-cu-dat-full-tho-cu-nen-goc-duong-le-van-luong-8m18m-nha-b-3156656.html,2990.0,139.72,Huyện Nhà Bè,Đất,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-chu-gui-can-na-dep-noi-that-day-du-1-tret-1-lau-to-ngoc-van-q-3156771.html,1180.0,32.0,Quận 12,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-chi-hon-4-ty-ban-can-pho-4-tang-4x14m-khu-hang-bia-tiger-o-to-d-3156772.html,4000.0,56.0,Quận 12,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-ngay-go-dau-tan-huong-so-no-hau-4tang-ngang-45m-duoi-65-t-3158805.html,6500.0,70.0,Quận Tân Phú,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-nha-cu-tien-xay-dung-moi-va-son-sua-duong-phan-huy-ich-quan-go-vap-2949414.html,15700.0,145.0,Quận Gò Vấp,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-can-ho-chung-cu-so-huu-chcc-2pn-full-noi-that-soho-residence-trung-tam-q1-t-3158833.html,6500.0,55.0,Quận 1,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-can-ho-chung-cu-can-1pn-5-ty-all-in-gia-tot-new-city-chu-thien-chi-mau-le-k-3165003.html,5000.0,50.0,Quận 1,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-can-ho-chung-cu-gia-soc-75-ty-ban-can-ho-2pn-2wc-70m2-masteri-an-phu-p-3165068.html,7500.0,70.0,Quận 1,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-can-ho-chung-cu-ban-can-ho-new-city-thu-thiem-quan-2-gia-tot-de-dau-tu-3-3166129.html,10500.0,112.0,Quận 2,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-ban-nha-rieng-48m2-co-san-48-m2-tho-cu-gia-135-ty-tai-chon-3166190.html,1350.0,48.0,Huyện Hóc Môn,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-can-ho-chung-cu-ban-can-ho-homyland-riverside-81m2-gia-46-ty-view-song-056-3166214.html,4600.0,81.0,Quận 2,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-ban-nha-rieng-110m2-co-san-110-m2-tho-cu-gia-5-ty-tai-duong-binh-3166160.html,5000.0,110.0,Quận Bình Tân,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-can-ho-chung-cu-ban-gap-can-ho-3pn-the-sun-avenue-chi-81-ty-bao-toan-bo-th-3163313.html,8300.0,89.0,Quận 1,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-can-ho-chung-cu-ban-nhanh-can-ho-2pn-new-city-thu-thiem-noi-that-dep-gia-to-3162531.html,6300.0,61.0,Quận 2,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-quan-11-ha-200tr-chi-con-1ty990-ban-nha-hem-1-ba-thang-h-3162535.html,1990.0,24.8,Quận 11,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-can-ho-chung-cu-saigon-royal-quan-4-2-phong-ngu-2-wc-75m2-day-3162534.html,1765.0,75.0,Quận 4,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-dat-tho-cu-ban-dat-tang-nha-full-tho-cu-1235m2-5x247-duong-7m-so-rien-3162779.html,3600.0,123.5,Huyện Hóc Môn,Đất,cafeland
https://nhadat.cafeland.vn/ban-can-ho-chung-cu-ban-gap-chcc-jamona-city-dt-73m2-2pn-2wc-khong-noi-that-3164788.html,3700.0,73.0,Quận 7,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-can-ho-era-tan-my-canh-phu-my-hung-85-m2-285-ty-full-noi-that-3164761.html,2850.0,85.0,Quận 7,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-mtkd-hoang-hoa-tham-hoang-ke-viem-2-tang-155m2-khu-kinh-d-3163434.html,6400.0,155.0,Quận Tân Bình,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-can-ho-the-opera-residence-1pn-5489m2-gia-192-ty-2557536.html,19200.0,54.89,Quận 1,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-can-ho-soho-resident-trung-tam-quan-1-cach-cho-ben-thanh-chi-chua-day-1km-2557292.html,7000.0,54.0,Quận 1,Căn hộ,cafeland
https://nhadat.cafeland.vn/nha-go-vap-61-m2-34-ty-tl-le-duc-tho-p17-o-to-do-cua-so-rieng-2555531.html,3400.0,61.0,Quận Bình Thạnh,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-nha-3-tang-90m2-duong-cay-keo-tam-phu-thu-duc-gia-105-ty-2358001.html,10500.0,90.0,Quận Bình Thạnh,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-can-ho-sai-gon-town-dt-60m2-2pn-co-nt-gia-chi-2150-ty-1323694.html,2150.0,60.0,Quận Tân Phú,Căn hộ,cafeland
https://nhadat.cafeland.vn/toi-ban-dat-khu-nha-o-xuan-thoi-dongduong-so-2-ke-cho-dau-moi-cu-cai-1699522.html,4000.0,120.0,Huyện Hóc Môn,Đất,cafeland
https://nhadat.cafeland.vn/biet-thu-vi-tri-dep-6-x-20m-1-tret-2-lau-vo-thi-sau-q3-tp-sai-gon-3142553.html,30500.0,120.0,Quận 3,Biệt thự,cafeland
https://nhadat.cafeland.vn/nha-pho-re-4-x-16m-1-tret-1-lau-nguyen-cu-trinh-quan-1-tphcm-2282058.html,22000.0,64.0,Quận 1,Nhà phố,cafeland
https://nhadat.cafeland.vn/can-nha-mat-tien-nguyen-thien-thuat-gan-100m2-2-mat-thoang-co-dong-tien-tot-2290339.html,35000.0,96.0,Quận 3,Nhà mặt tiền,cafeland
https://nhadat.cafeland.vn/ban-nha-mt-tran-quoc-toan-q3-dt-31x12m-2-tang-125-ty-2833704.html,12500.0,34.0,Quận 3,Nhà riêng,cafeland
https://nhadat.cafeland.vn/can-sang-nhuong-can-ho-conic-full-noi-tha-2pn-2wc-86m2-mat-tien-huynh-ba-chanh-2827290.html,3150.0,86.0,Quận 1,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-can-ho-dich-vu-6-lau-hem-791-tran-xuan-soan-phuong-tan-hung-q7-dt-7x20m-2220978.html,32000.0,140.0,Quận 7,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-can-2pn2wc-dt84m2-tang-7-chung-cu-era-town-duc-khai-q7-hcm-2831644.html,3400.0,84.0,Quận 7,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-nha-phuong-14-tan-binh-hem-o-to-gan-truong-chinh-2488454.html,12000.0,138.0,Quận Tân Bình,Nhà riêng,cafeland
https://nhadat.cafeland.vn/can-ho-82m2-mat-tien-ql13-gia-32-ty-tien-ich-sat-aeon-mall-khai-thac-dong-tien-2953347.html,3200.0,82.0,TP. Thủ Đức,Căn hộ,cafeland
https://nhadat.cafeland.vn/top-nha-vi-tri-dep-1-tret-1-lau-nguyen-duy-duong-q5-tphcm-2282234.html,14000.0,56.0,Quận 10,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-can-ho-luxgarden-69m2-tang-cao-view-noi-khu-tp-cau-phu-my-gia-36-ty-2937442.html,3600.0,69.0,Quận 7,Căn hộ,cafeland
https://nhadat.cafeland.vn/chuyen-nhuong-can-ho-cao-cap-tai-vinhomes-grand-park-thu-duc-2482240.html,4500.0,48.7,TP. Thủ Đức,Căn hộ,cafeland
https://nhadat.cafeland.vn/lo-dat-tuyet-dep-vi-tri-dac-dia-kdc-ecogreen-hoan-cau-quan-7-5x14m-so-hong-2477692.html,11990.0,70.0,Quận 4,Đất,cafeland
https://nhadat.cafeland.vn/chi-tu-275-ty-so-huu-can-ho-lien-ke-sieu-thi-go-nhan-nha-quy-42026-2936323.html,2750.0,50.0,Quận 1,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-can-ho-dich-vu-7-tang-mat-tien-tran-van-ky-binh-thanh-3176640.html,32900.0,120.0,Quận Bình Thạnh,Căn hộ,cafeland
https://nhadat.cafeland.vn/nha-ban-bui-dinh-tuy-56m2-so-hong-rieng-hon-5-ty-3176716.html,5700.0,56.0,Quận Bình Thạnh,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-can-ho-chung-cu-5ty5-con-thuong-luong-can-ho-114m2-tang-tret-3pn-2-ma-3178018.html,5500.0,114.0,Quận 7,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-nha-dep-sc-dt-4x9m-duc-tret-1-lau-2pn-2wc-dong-thanh-4-2-hm-hcm-1-3178043.html,1200.0,36.0,Quận 12,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-can-ho-chung-cu-chinh-chu-can-ban-nhanh-can-3-phong-ngu-full-noi-that-o-khu-3175313.html,1800.0,88.0,Quận Bình Tân,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-can-ho-chung-cu-ban-can-ho-bluesky-tower-quan-2-gia-29-ty-can-68m2ban-con-3175375.html,2000.0,68.0,Quận 2,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-nha-thoi-tam-thon-12ty-ccvb-thoi-tam-thon-12-loc-ban-nhanh-3175066.html,1200.0,56.0,Huyện Hóc Môn,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-ban-nha-moi-huynh-tan-phat-nha-be-80m2-4-phong-ngu-299-ty-3174792.html,2990.0,80.0,Quận 7,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-ban-nha-mat-tien-tran-van-ky-binh-thanh-23m2-3-tang-21-ty-vua-o-3174852.html,2100.0,23.0,Quận Bình Thạnh,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-ban-nha-le-quang-dinh-phuong-7-binh-thanh-30m2-3-tang-195-ty-3174850.html,1950.0,30.0,Quận Bình Thạnh,Nhà riêng,cafeland
https://nhadat.cafeland.vn/nha-sieu-dep-noi-that-cao-cap-shr-chinh-chu-3175876.html,8200.0,203.0,Quận 12,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-ban-nha-khu-vip-duong-nguyen-gian-thanh-ngang-16m-lung-3-lau-st-3175951.html,24000.0,88.0,Quận 10,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-can-ho-mini-dich-vu-can-ho-dich-vu-dong-tien-80trthang-khoang-6nam-c-3175718.html,16300.0,65.0,Quận 1,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-lo-dat-hem-xe-hoi-duong-so-12-phuong-an-khanh-q2-2481844.html,16000.0,63.0,Quận 2,Đất,cafeland
https://nhadat.cafeland.vn/quan-10-hxh-cach-mang-thang-tam-phuong-hoa-hung-54m2-3-tang-dep-4pn-16-ty-2324017.html,16000.0,54.0,Quận 10,Nhà riêng,cafeland
https://nhadat.cafeland.vn/so-huu-can-ho-symlife-thuan-an-mat-tien-ql13-chi-360tr-20-50m2-1pn1wc-36trm-2275060.html,1800.0,50.0,Quận 1,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-can-ho-hang-sang-kieu-by-kita-128m2-3pn-2wc-2289741.html,5000.0,128.0,Quận 5,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-nha-mat-tien-kdbb-mai-van-vinh-q7-dt-38x20m-61x17m-135x20-2281527.html,18000.0,65.0,Quận 7,Nhà mặt tiền,cafeland
https://nhadat.cafeland.vn/chuyen-nhuong-nha-mat-tien-kinh-doanh-duong-ban-co-phuong-ban-co-quan-3-2478316.html,24500.0,61.4,Quận 3,Nhà mặt tiền,cafeland
https://batdongsan.vn/ban-nha-mat-pho-linh-xuan-thu-duc-90m2-4pn-49-ty-so-hong-r134452,4900.0,90.0,TP. Thủ Đức,Nhà mặt tiền,batdongsan
https://batdongsan.vn/45mx39m-dt-175-m2-ban-dat-duong-thanh-xuan-25-hem-xe-hoi-10m-phuong-tl-q12-r134271,4250.0,175.0,Quận 12,Đất,batdongsan
https://batdongsan.vn/ban-dat-mat-tien-hem-xe-hoi-thanh-xuan-25-phuong-thanh-loc-quan-12-r134274,4950.0,175.0,Quận 12,Đất,batdongsan
https://batdongsan.vn/ban-nha-duong-ha-huy-giap-phuong-thanh-loc-q12-dt-120m2-57mx21m-49ty-r134340,4900.0,120.0,Quận 12,Nhà mặt tiền,batdongsan
https://batdongsan.vn/ban-nha-hoang-dieu-q4-57m2-4-tang-5pn-5wc-39-ty-r133615,3900.0,57.0,Quận 4,Nhà riêng,batdongsan
https://batdongsan.vn/ban-nha-1-tret-1-lau-2-phong-ngu-50m2-kha-van-can-gia-chi-2-ty-650tr-qua-re-r135409,2650.0,50.0,TP. Thủ Đức,Nhà riêng,batdongsan
https://batdongsan.vn/ban-nha-42x18m-4-tang-hem-xe-hoi-tan-ky-tan-quy-tan-phu-r135428,5900.0,77.0,Quận Tân Phú,Nhà riêng,batdongsan
https://batdongsan.vn/ban-nha-tan-binh-90m2-xe-tai-thong-5-tang-nhinh-9-ty-r135392,9490.0,90.0,Quận Tân Bình,Nhà riêng,batdongsan
https://batdongsan.vn/p4q8-chi-32-ty-nha-dep-o-lien-gan-cho-pham-the-hien-r134783,3200.0,35.0,Quận 8,Nhà phố,batdongsan
https://batdongsan.vn/khuon-dat-sieu-dep-no-hau-mat-tien-duong-so-2-cu-xa-do-thanh-quan-366x20-40ty-r132161,40000.0,151.0,Quận 3,Đất,batdongsan
https://batdongsan.vn/ban-dat-mat-tien-duong-160-tang-nhon-phu-a-thu-duc-gia-tot-100m2-r131825,4200.0,100.0,Quận 9,Đất,batdongsan
https://batdongsan.vn/1-ban-dat-tang-nha-gan-khu-tthc-tpthu-duc-100m2-vuong-chi-nhinh-7x-tr-m2-r131695,7250.0,154.0,Quận 2,Đất,batdongsan
https://batdongsan.vn/top-3-can-nha-phan-khuc-duoi-50-ty-quan-10-ban-nha-goc-2mt-hoa-hung-42-ty-r132930,42000.0,140.0,Quận 10,Căn hộ,batdongsan
https://batdongsan.vn/ban-nha-duong-ho-van-long-binh-hung-hoa-b-binh-tan-130m2-5-x-25-no-hau-53m-nhinh-4-ty-r132686,4900.0,130.0,Quận Bình Tân,Nhà riêng,batdongsan
https://batdongsan.vn/ban-can-ho-2pn-3pn-khu-nam-sg-quy-12027-nhan-nha-bank-70-0ls-24-thang-r138248,4200.0,79.0,Quận 1,Căn hộ,batdongsan
https://batdongsan.vn/chi-550-trieu-so-huu-can-ho-chuan-home-tera-luxury-nam-sg-r137831,4300.0,91.0,Quận 1,Căn hộ,batdongsan
https://batdongsan.vn/ban-nha-2-tang-dep-hem-1-sec-duong-linh-dong-thu-duc-tphcm-gia-cuc-tot-r137781,3800.0,87.0,TP. Thủ Đức,Nhà riêng,batdongsan
https://batdongsan.vn/ban-nha-binh-chieu-3pn-so-vuong-dep-hem-duong-19-chi-275-ty-don-vao-o-ngay-r139644,2750.0,48.0,TP. Thủ Đức,Nhà riêng,batdongsan
https://batdongsan.vn/ban-nha-hxh-ha-huy-giap-thanh-loc-q12-177m2-2-tang-ngang-6m-chi-gan-5-ty-r136096,4990.0,177.0,Quận 12,Nhà riêng,batdongsan
https://batdongsan.vn/ban-nha-ha-huy-giap-quan-12-giap-go-vap-r136369,740.0,24.0,Quận 12,Nhà riêng,batdongsan
https://batdongsan.vn/ban-nha-3-tang-163-m2-huong-lo-3-binh-hung-hoa-binh-tan-hxh-chi-9-ty-so-do-r135566,9000.0,163.0,Quận Bình Tân,Căn hộ,batdongsan
https://batdongsan.vn/ban-nha-mat-tien-kd-huynh-tan-phat-kcx-tan-thuan-11x21mm-3-tang-cu-42-ty-r135889,42000.0,227.0,Quận 7,Nhà mặt tiền,batdongsan
https://batdongsan.vn/chu-moi-gui-hxh-luy-ban-bich-3t-4x18m-oto-do-cua-chu-gap-ban-truoc-tet-r137405,6000.0,72.0,Quận Tân Phú,Nhà phố,batdongsan
https://batdongsan.vn/ban-nha-hxh-chu-van-an-38x10-gan-ba-chieu-hang-xanh-nhinh-3-ti-r136960,3350.0,38.0,Quận Bình Thạnh,Nhà riêng,batdongsan
https://batdongsan.vn/dat-trong-ngay-khu-dan-cu-him-lam-vi-tri-tim-nang-don-dau-cau-nguyen-khoai-53m2-4x13-hem-xe-r136947,9900.0,53.0,Quận 7,Đất,batdongsan
https://batdongsan.vn/mat-tien-dang-thuc-lieng-49m2-4-tang-nha-con-moi-chinh-chu-dang-o-chi-68-ty-p4q8-r137054,6990.0,94.0,Quận 8,Nhà phố,batdongsan
https://batdongsan.vn/trinh-bay-thong-tin-bat-dong-san-mot-cach-ro-rang-va-hap-dan-thi-ban-nen-tuan-thu-cac-nguyen-tac-r125567,1150.0,45.0,Quận Bình Tân,Nhà mặt tiền,batdongsan
https://batdongsan.vn/ban-nha-goc-2-mt-tan-phu-trung-hcu-chi-hcm-r125573,3600.0,223.0,Quận Tân Phú,Nhà riêng,batdongsan
https://batdongsan.vn/duoi-day-la-mot-so-tinh-nang-noi-bat-cua-vbdsp-r125614,1150.0,45.0,Quận 2,Biệt thự,batdongsan
https://batdongsan.vn/can-ho-chung-cu-dep-gia-cuc-ky-hap-dan-duong-au-co-58m2-chi-21-ty-don-vao-o-ngay-r125621,2150.0,58.0,Quận 1,Căn hộ,batdongsan
https://batdongsan.vn/200m2-dat-tho-cu-khu-him-lam-10x20m-mat-tien-duong-so-10-xe-hoi-thong-tan-hung-quan-7-42-ty-r125533,42000.0,200.0,Quận 7,Đất,batdongsan
https://batdongsan.vn/nhinh-7-ty-ban-nha-cap-4-2-mat-tien-huynh-tan-phat-p-tan-phu-q-7-r125758,7500.0,78.0,Quận 7,Nhà phố,batdongsan
https://batdongsan.vn/nha-mat-tien-duong-882-phu-huu-dt-64m-3-tang-gia-tot-r127371,5200.0,64.0,Quận 9,Nhà mặt tiền,batdongsan
https://batdongsan.vn/chi-thanh-toan-10-gtch-tuong-duong-khoang-160tr-cho-can-ho-556m2-2pn-1wc-cho-den-khi-nhan-nha-r127219,1650.0,55.0,Quận 1,Căn hộ,batdongsan
https://batdongsan.vn/ban-nha-truong-chinh-p12-tan-binh-r126768,2900.0,192.0,Quận Tân Bình,Nhà riêng,batdongsan
https://batdongsan.vn/ban-nha-4-lau-sieu-dep-dt-131m2-hem-o-to-duong-so-9-phuong-linh-tay-thu-duc-10-ty-r124403,10000.0,131.0,Quận 1,Nhà riêng,batdongsan
https://batdongsan.vn/ban-dat-hxh-ho-van-long-binh-hung-hoa-b-binh-tan-65m2-khu-phan-lo-dong-bo-r123571,3200.0,65.0,Quận Bình Tân,Đất,batdongsan
https://batdongsan.vn/khong-the-re-hon-can-goc-2-mat-tien-duong-rong-12m-doi-dien-cong-truong-dh-plong-truongquan-r123595,5800.0,139.0,Quận 1,Căn hộ,batdongsan
https://batdongsan.vn/mat-tien-da-nam-65x20-no-hau-138m2-125-p2-q8-chi-30-ty-r125118,30000.0,138.0,Quận 8,Căn hộ,batdongsan
https://batdongsan.vn/kha-van-can-nha-3-tang-kcbt-3pn-3wc-3-mat-thoang-gia-1-ty-79-r125134,1799.0,40.0,TP. Thủ Đức,Căn hộ,batdongsan
https://batdongsan.vn/co-hoi-so-huu-dat-260m2-voi-khoan-thu-nhap-on-dinh-so-rieng-r125096,6700.0,260.0,TP. Thủ Đức,Đất,batdongsan
