Tieu_de,Gia_ban,Dien_tich,Dia_diem,Loai_hinh_BDS,Mo_ta_Dac_diem,Nguoi_dang_Chu_dau_tu,Ngay_dang,URL
Môi giới nhà đất Đỗ Hồng Thắm 0906798***,,356m²,TP. Hồ Chí Minh,,,,,https://nhadat.cafeland.vn/moi-gioi/do-hong-tham-132025.html
Môi giới nhà đất Mai Phương 0909218***,,227.7m2,TP. Hồ Chí Minh,,,,,https://nhadat.cafeland.vn/moi-gioi/mai-phuong-311711.html
Bán căn hộ cao cấp 1PN 51m2 The Sun Avenue view đẹp trung tâm quận 2 giá 4 tỷ,4 tỷ,51m2,TP. Hồ Chí Minh,Căn hộ,"Căn hộ cao cấp 1PN + 1WC 51m2 The Sun Avenue mặt tiền đường Mai Chí Thọ trung tâm quận 2 TP.HCM đầy đủ nội thất giá chỉ 4 tỷ VND - Ban công hướng Đông Bắc, thoáng đãng, sáng sủa - Đang chờ sổ, pháp lý an toàn - Không gian sống hiện đại, sang trọng, phù hợp cho giới trẻ yêu thích sự tiện nghi Tiện ích xung quanh: - Gần The Global City - Downtown mới của TP.HCM - Trường quốc tế Anne Hill, 8GPiano, ISHCMC - American Academy - Siêu thị Genshai, The Vistar siêu thị mini Liên hệ ngay 0966755844 xem nhà thực tế",ngay,20-08-2026,https://nhadat.cafeland.vn/ban-can-ho-cao-cap-1pn-51m2-the-sun-avenue-view-dep-trung-tam-quan-2-gia-4-ty-2272751.html
Môi giới nhà đất nguyễn phi hùng 0832031***,,,TP. Hồ Chí Minh,,,,,https://nhadat.cafeland.vn/moi-gioi/nguyen-phi-hung-322970.html
Môi giới nhà đất Linh Nguyen 0976625***,,,TP. Hồ Chí Minh,,,,,https://nhadat.cafeland.vn/moi-gioi/linh-nguyen-322886.html
"Hẻm thẳng 6m số 253/ hà tôn quyền, dt: 4x15, 4 tầng, 10 tỷ",10 tỷ,60m2,TP. Hồ Chí Minh,Bán nhà riêng,"Chính chủ cần bán nhà nguyên căn hẻm thẳng 6m vị trí: 253/ hà tôn quyền, p minh phụng, hồ chí minh dt: 4x15 trệt: sân để xe- phòng khách- bếp lửng: phòng xinh hoạt chung lầu 1-2 là phòng ngủ của gia chủ giá: 10 tỷ ( tl cho khách thiện chí) ---------- nhà nằm ngay khu trung tâm gần nhiều bệnh viện lớn: y dược- chợ rẫy, hùng vương khu phố ẩm thực nổi tiếng nhất sài gòn về há cảo",(1 đánh giá) Nguyễn Huy Mobile:,17-08-2026,https://nhadat.cafeland.vn/hem-thang-6m-so-253-ha-ton-quyen-dt-4x15-4-tang-10-ty-3126817.html
BÁN NHÀ MẶT TIỀN ĐƯỜNG LŨY BÁN BÍCH NGANG 4m x 22.4 - GẦN ỦY BAN QUẬN TÂN PHÚ CŨ,26 tỷ 880 triệu,89.6m2,TP. Hồ Chí Minh,Nhà mặt tiền,"bán nhà MT đường Lũy Bán Bích, phường Phú Thọ Hòa, Tphcm. cách siêu thị 500m, trường hoc 1km sân bay 6km, bệnh viện 3km. Đang cho thuê kinh doanh ổn định. Khu dân cư sầm uất đường rộng 30m. nhả đúc bê tông cốt thép, một trệt, một lầu, diện tích xd 179.2 m2 3 toa lét, 3 phòng ngủ. Liên hệ: 0832031912 - Anh Hùng",(0 đánh giá) nguyễn phi hùng Mobile:,17-08-2026,https://nhadat.cafeland.vn/ban-nha-mat-tien-duong-luy-ban-bich-ngang-4m-x-224-gan-uy-ban-quan-tan-phu-cu-3174507.html
"Chính chủ, cần bán gấp, sẵn sổ hồng 3PN - 127m2 - 13,5tr đang cho thuê/tháng",5 tỷ 250 triệu,127m2,TP. Hồ Chí Minh,Bán căn hộ chung cư,"Mình chính chủ cần bán gấp căn 3PN, 127m², thu nhập 13,5tr/tháng từ cho thuê. Sổ hồng cầm tay 1. Diện tích tim tường lớn, 127m², thông thủy 114.6m² so với mặt bằng chung của khu vực Nguyễn Hữu Thọ, Sunrise Riverside. 2. Nguồn thu hàng tháng, 13,5tr, từ tiền thuê nhà dài hạn.",(0 đánh giá) Linh Nguyen Mobile:,12/8/2026,https://nhadat.cafeland.vn/chinh-chu-can-ban-gap-san-so-hong-3pn-127m2-135tr-dang-cho-thuethang-3167057.html
Nhà Phú Nhuận hxh mà giá chưa tới 120tr/m2,9 tỷ 300 triệu,83m2,TP. Hồ Chí Minh,Bán nhà riêng,"Nguyễn Kiệm PN gần chợ, gần Phan Xích Long mà giá chưa tới 120tr/m2 Nhà 4 tầng (sân thượng), có phòng ngủ trệt, nhiều phòng đáp ứng cho gia đình 3 thế hệ. Sân để xe, sân trước sau thoáng mát và đầy ánh sáng. Hãy liên hệ Kiến_Hằng để xem sổ nhé #Kiến_Hằng_0909026687 #Vincent_Kiến_0009718687",(0 đánh giá) Phạm Hữu Kiến Mobile:,31-08-2026,https://nhadat.cafeland.vn/nha-phu-nhuan-hxh-ma-gia-chua-toi-120trm2-3178636.html
"BÁN NHÀ MẶT TIỀN TÂN HOÀ ĐÔNG,TRUNG TÂM QUẬN BÌNH TÂN - SỔ HỒNG RIÊNG - 130m²",12 tỷ 500 triệu,130m2,TP. Hồ Chí Minh,Nhà mặt tiền,"+ Bán nhà mặt tiền Tân Hoà Đông,Quận Bình Tân - sổ hồng riêng - 130m² - giá 12.5 tỷ thương lượng. + Vị trí: Mặt tiền kinh doanh,ngay trường THCS và UBND phường bình trị đông cũ. + DTSD : 130m² - CN 85m² ( 4,6m x 27m vuông A4) bên trong có nhà 1 trệt,1 lầu còn mới. + Đường rộng 20m,có lề 5m,phù hợp kinh doanh đa ngành nghề. + Cách phan anh khoản 600m,cách hương lộ 2 800m. + Sổ hồng riêng,vuông vắn,pháp lý chuẩn. + LH: 0826 749 131 Mr Thanh,xem nhà trực tiếp. + Đang cho thuê 25tr.",(3 đánh giá) lương quốc thanh Mobile:,28-08-2026,https://nhadat.cafeland.vn/ban-nha-mat-tien-tan-hoa-dongtrung-tam-quan-binh-tan-so-hong-rieng-130m2-3147664.html
"Bán nhà riêng tại 32 Huyền Quang, Phường Tân Định, TP. HCM (Gần chợ Tân Định)",11 tỷ 500 triệu,71.04m2,TP. Hồ Chí Minh,Nhà riêng,"Bán nhà riêng 32 Huyền Quang, Phường Tân Định, Quận 1, TP.Hồ Chí Minh (Kết nối trực tiếp đường Thạch Thị Thanh, Nguyễn Phi Khanh). Xe hơi lưu thông thoải mái. Diện tích đất: 33,5 m2 (đất ở đô thị lâu dài) Tổng diện tích sàn: 71.04 m2. Nhà nở hậu: Chiều ngang mặt tiền là 2,70 m, chiều ngang cuối nhà là 2,80 m. Chiều dài nhà 12,8m. Kết cấu: 1 trệt, 1 lầu (Sàn BTCT, tường gạch kiên cố, phía trước có ban công thoáng mát). Pháp lý: sổ hồng chính chủ, công chứng sang tên ngay. GIAO THÔNG & VỊ TRÍ ĐẮC ĐỊA: Giao thông thuận tiện: xe hơi lưu thông dễ dàng, di chuyển trong suốt ra các trục đường lớn như Thạch Thị Thanh, Nguyễn Phi Khanh, Trần Quang Khải, Hai Bà Trưng, Võ Thị Sáu.. Vị trí trung tâm: Gần chợ Tân Định, Công Viên Lê Văn Tám, Nhà thờ Tân Định, Bệnh Viện Tân Định…. Giá bán: 11,5 tỷ -TL liên hệ trực tiếp 0909110020 – Ms Cẩm (Hoa hồng cho người giới thiệu khách mua thiện chí).",trực tiếp,27-08-2026,https://nhadat.cafeland.vn/ban-nha-rieng-tai-32-huyen-quang-phuong-tan-dinh-tp-hcm-gan-cho-tan-dinh-3176905.html
Môi giới nhà đất lương quốc thanh 0826749***,,,TP. Hồ Chí Minh,,,,,https://nhadat.cafeland.vn/moi-gioi/luong-quoc-thanh-289696.html
Môi giới nhà đất Trần Thị Hồ Cẩm 0909110***,,,TP. Hồ Chí Minh,,,,,https://nhadat.cafeland.vn/moi-gioi/tran-thi-ho-cam-323008.html
"Chuyển nhượng dự án căn hộ mặt tiền đường Nguyễn Chí Thanh, Thuận An, hoàn thiện",400 tỷ,5500m2,TP. Hồ Chí Minh,Căn hộ,"CHUYỂN NHƯỢNG / M&A – DỰ ÁN CĂN HỘ CHUNG CƯ CAO TẦNG – THUẬN AN – TP.HCM Vị trí: Mặt tiền đường, Phường Thuận An, TP.HCM mới. Diện tích đất: ~ 5.500m². Quy mô dự án: ️ Chiều cao: 01 tầng hầm, 25 tầng nổi, và tầng kỹ thuật, tầng thượng. ️ Cơ cấu sản phẩm: ~ 465 căn hộ, 15 căn thương mại dịch vụ và 46 căn hộ văn phòng kết hợp lưu trú (Officetel). ️ Tiện ích đồng bộ: Hồ bơi (tầng 4) , cơ sở giáo dục mầm non nội khu (tầng 1 & 2) , công viên cây xanh , sân chơi trẻ em và hệ thống trạm sạc xe điện hiện đại. Pháp lý: Full bộ Quy hoạch chi tiết 1/500, GPXD ️ Hiện trạng: Đang triển khai thi công phần móng, ở giai đoạn khoan ép cọc. Giải phóng mặt bằng và san nền cục bộ đã hoàn tất. Phù hợp nhà đầu tư, DN BĐS, quỹ đầu tư mua M&A dự án Chuyển nhượng toàn bộ – làm việc trực tiếp. Nhà đầu tư quan tâm vui lòng liên hệ chi tiết & báo giá: ️ 093 8986 123 – Anh Tuấn.",(1 đánh giá) Anh Tuấn Mobile:,27-08-2026,https://nhadat.cafeland.vn/chuyen-nhuong-du-an-can-ho-mat-tien-duong-nguyen-chi-thanh-thuan-an-hoan-thien-3177174.html
Môi giới nhà đất Phạm Hữu Kiến 0909026***,,83m2,TP. Hồ Chí Minh,,,,,https://nhadat.cafeland.vn/moi-gioi/pham-huu-kien-170838.html
"BÁN TÒA NHÀ VP KẾT HỢP CHDV – TRUNG TÂM TÂN ĐỊNH, Q.1",180 tỷ,336m2,TP. Hồ Chí Minh,Bán nhà riêng,"BÁN TÒA NHÀ VP KẾT HỢP CHDV – TRUNG TÂM TÂN ĐỊNH, Q.1 Đường Đặng Dung – P. Tân Định – Quận 1 Khu vực trung tâm, tỷ lệ lấp đầy văn phòng cao, nhu cầu thuê ổn định. Thông tin tài sản: • Diện tích đất: 340 m² • Mặt tiền: ~14m (hiếm trong khu vực) • Tổng diện tích sàn khai thác thực tế: ~1.800 m² • Kết cấu: 1 hầm + 7 tầng • Công năng: Văn phòng – Căn hộ dịch vụ – Hybrid Hiện trạng: • Tòa nhà đang khai thác, có hợp đồng thuê • Dòng tiền ổn định, bàn giao vận hành ngay • Phù hợp nhà đầu tư mua giữ tài sản trung tâm Giá bán: 192 TỶ Quy đổi chỉ khoảng ~106–110 triệu/m² sàn khai thác Mức giá cạnh tranh trong phân khúc tòa nhà Quận 1 Phù hợp: • Nhà đầu tư tìm tài sản trung tâm có dòng tiền sẵn • Khách mua giữ 3–5 năm chờ tăng giá đất lõi • Doanh nghiệp cần tòa nhà quy mô trung bình tại Q1 Liên hệ xem nhà & làm việc trực tiếp",(1 đánh giá) Tran Ngan Mobile:,24-08-2026,https://nhadat.cafeland.vn/ban-toa-nha-vp-ket-hop-chdv-trung-tam-tan-dinh-q1-2290460.html
"Căn góc 2 mặt tiền tầng cao siêu đẹp, ngay Phú Mỹ Hưng, Full nội thất cao cấp",6 tỷ 900 triệu,77m2,TP. Hồ Chí Minh,Bán căn hộ chung cư,"CĂN HỘ 2PN SUNSHINE SKY CITY – KHÔNG GIAN SỐNG KHẲNG ĐỊNH DẤU ẤN THÀNH ĐẠT Tại Sunshine Sky City, mỗi căn hộ 2 phòng ngủ được kiến tạo như một ""private suite"" giữa trung tâm Nam Sài Gòn, nơi giá trị sống sang trọng được thể hiện qua từng chi tiết nội thất. - Không gian mở kết nối phòng khách, bếp và khu vực bàn ăn trong một tổng thể hài hòa. Chất liệu gỗ cao cấp, đá tự nhiên cùng những điểm nhấn kim loại ánh champagne tạo nên vẻ đẹp thời thượng, trong khi hệ cửa kính lớn đón trọn ánh sáng và tầm nhìn khoáng đạt. - Phòng ngủ được thiết kế theo tiêu chuẩn nghỉ dưỡng với gam màu trầm ấm, nội thất tinh tuyển và hệ thống ánh sáng đa lớp, mang đến cảm giác thư thái tuyệt đối sau mỗi ngày bận rộn. - Không chỉ sở hữu một căn hộ, chủ nhân Sunshine Sky City đang sở hữu một phong cách sống - nơi công nghệ hiện đại, kiến trúc đẳng cấp và trải nghiệm cá nhân hóa cùng hội tụ trong một không gian sống xứng tầm. --- ĐẶC QUYỀN TIÊN PHONG - KHÔNG THỂ BỎ LỠ! + Chỉ từ 600 TRIỆU sở hữu ngay căn hộ cao cấp Smart Home tại trung tâm tài chính Nam Sài Gòn, liền kề Phú Mỹ Hưng! + Chỉ cần 25% vốn - Hưởng ngay +8% khi thanh toán sớm. + Hỗ trợ vay 70%, đặc quyền 0% LÃI SUẤT trong 24 tháng. + Nhận ưu đãi chiết khấu tới 18% + Tặng 2 NĂM phí quản lý. ----------------- Tổ hợp Thương mại - Dịch vụ - Căn hộ “chuẩn khách sạn” ven sông liền kề Phú Mỹ Hưng Hotline: 093 8986 123 (Mr. Anh Tuấn) – PKD CĐT để tham quan thực tế và nhận bảng tính giá.",(1 đánh giá) Anh Tuấn Mobile:,18-08-2026,https://nhadat.cafeland.vn/can-goc-2-mat-tien-tang-cao-sieu-dep-ngay-phu-my-hung-full-noi-that-cao-cap-2953598.html
